,"cluster_[0, 1, 0, 2, 2, 0]_words","cluster_[0, 1, 0, 2, 2, 0]_freqs","cluster_[0, 1, 0, 2, 2, 1]_words","cluster_[0, 1, 0, 2, 2, 1]_freqs","cluster_[0, 1, 2, 2, 2, 1]_words","cluster_[0, 1, 2, 2, 2, 1]_freqs","cluster_[2, 1, 0, 2, 2, 0]_words","cluster_[2, 1, 0, 2, 2, 0]_freqs","cluster_[2, 1, 0, 2, 2, 1]_words","cluster_[2, 1, 0, 2, 2, 1]_freqs","cluster_[2, 1, 1, 2, 2, 1]_words","cluster_[2, 1, 1, 2, 2, 1]_freqs","cluster_[2, 1, 2, 2, 2, 0]_words","cluster_[2, 1, 2, 2, 2, 0]_freqs","cluster_[2, 1, 2, 2, 2, 1]_words","cluster_[2, 1, 2, 2, 2, 1]_freqs"
0,who,7,sport,108,appliance,12,sign,478,color,11289,left,29,short,570,color,12049
1,place,4,game,87,furniture,8,say,237,man,5953,side,27,description,518,man,6984
2,front,4,played,63,kind,7,bus,229,people,5117,right,27,words,331,kind,4498
3,playing,4,who,46,which,6,number,226,wearing,4097,which,22,describe,312,short,4088
4,think,3,playing,32,left,6,street,182,where,3499,man,17,A,273,room,3516
5,where,3,field,30,underneath,5,name,133,short,3124,woman,7,Provide,238,where,3512
6,light,3,season,30,countertop,5,signs,106,train,2841,chair,7,depiction,214,people,3472
7,batter,2,was,26,right,5,where,91,kind,2769,color,6,Briefly,200,wearing,3435
8,which,2,day,26,floor,4,which,88,person,2647,person,5,provide,198,person,3337
9,watching,2,people,23,called,4,front,79,bus,2489,glasses,3,Write,198,cat,3312
10,wall,2,wearing,22,pieces,4,language,75,animals,2440,chairs,3,presented,127,description,3224
11,umpire,2,short,22,side,3,short,70,description,2340,see,3,use,121,type,3007
12,world,2,which,21,top,2,man,68,animal,2336,people,3,happening,120,food,2913
13,would,2,time,21,clean,2,building,67,sign,2235,shirt,3,Use,116,woman,2827
14,floor,2,where,20,front,2,sport,61,woman,2029,girls,2,illustrate,116,which,2214
15,buildings,2,A,20,trees,2,description,58,type,2008,racket,2,Could,112,table,2141
16,united,2,players,19,cabinets,2,who,54,see,1827,women,2,perceive,112,plate,2080
17,states,2,taken,19,oven,2,written,53,which,1733,happy,2,concise,111,animal,2068
18,company,2,color,18,drawers,2,describe,49,holding,1596,bench,2,language,110,made,2026
19,europe,2,kind,18,mountains,2,words,48,time,1557,leather,2,An,103,dog,1994
20,was,1,city,18,color,2,people,46,right,1514,couch,2,shows,103,describe,1968
21,taken,1,look,17,roof,2,word,45,words,1474,sitting,2,Please,103,A,1929
22,beach,1,batter,16,background,2,place,43,street,1459,black,2,sign,100,holding,1928
23,field,1,country,16,likely,2,right,43,building,1435,clock,2,Using,95,words,1911
24,ground,1,type,16,partly,2,company,43,shirt,1433,small,2,account,95,pizza,1898
25,seem,1,description,16,season,2,player,42,left,1419,table,2,Present,95,water,1859
26,person,1,baseball,14,area,2,left,42,describe,1385,shelves,2,see,94,see,1844
27,right,1,person,13,would,2,kind,41,A,1358,pillow,2,content,94,sitting,1826
28,player,1,player,13,beautiful,1,playing,41,playing,1348,microwave,2,Summarize,94,shirt,1589
29,standing,1,year,13,microwave,1,city,41,number,1340,wall,2,Can,86,toilet,1575
30,fence,1,here,13,small,1,shown,39,who,1320,room,2,briefly,86,right,1571
31,surrounding,1,like,13,behind,1,Briefly,39,look,1264,feet,2,explain,86,look,1499
32,waiting,1,describe,13,dishwasher,1,read,37,dog,1252,throwing,2,caption,82,left,1490
33,looking,1,waiting,12,granite,1,side,36,truck,1242,frisbee,2,say,68,wall,1485
34,crowd,1,sky,12,counter,1,white,36,boy,1228,wearing,2,front,62,shown,1442
35,lady,1,likely,12,look,1,here,36,shown,1225,ground,2,man,56,who,1432
36,antique,1,professional,12,old,1,person,35,car,1204,tennis,1,name,41,top,1384
37,store,1,traffic,11,new,1,train,35,water,1169,drawer,1,who,40,depiction,1347
38,look,1,seats,11,buildings,1,type,35,sport,1151,light,1,street,38,provide,1326
39,modern,1,words,11,taller,1,plane,34,clock,1139,fixture,1,playing,36,Provide,1308
40,huge,1,Briefly,11,lake,1,red,33,standing,1127,facing,1,sport,34,Write,1302
41,tall,1,front,10,forest,1,see,33,white,1123,part,1,which,32,Briefly,1293
42,sticks,1,spectators,10,snow,1,numbers,33,taken,1121,young,1,person,30,girl,1281
43,called,1,weather,10,where,1,top,32,vehicle,1119,beside,1,tennis,27,white,1201
44,top,1,stands,10,audio,1,streets,32,trees,1117,long,1,where,27,floor,1146
45,receive,1,right,10,speakers,1,stop,32,made,1106,desk,1,right,26,bed,1125
46,hours,1,night,10,come,1,game,32,sky,1087,plastic,1,book,26,bear,1092
47,bottom,1,left,9,weather,1,A,31,why,1069,keyboard,1,holding,25,front,1060
48,kind,1,light,9,conditions,1,holding,30,background,1053,wood,1,written,21,standing,1044
49,seen,1,street,9,cloudy,1,color,30,horse,1033,center,1,kind,20,boy,1041
